id,negotiation_id,legal_entity_id,action
12687,2052,882833,offer
12688,2053,882833,offer
12689,2054,882833,offer
12690,2055,882833,offer
12692,2057,882833,offer
911,524,,cancel
12677,2042,882833,offer
12693,2058,882833,offer
12695,2060,882833,offer
12696,2061,882833,offer
12698,2063,882833,offer
12699,2064,882833,offer
12700,2065,882833,offer
12701,2066,882833,offer
12702,2067,882833,offer
12703,2070,882833,offer
12704,2071,882833,offer
12678,2043,882833,offer
12679,2044,882833,offer
12680,2045,882833,offer
12691,2056,882833,offer
12694,2059,882833,offer
12697,2062,882833,offer
12705,2073,882833,offer
48878,26486,2368148,offer
12706,2074,882833,offer
